"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","237","should fire show_pdp_module_company_products on other-company-products impression","Analytics: PDP Mobile (GA3)","2026-08-27","passed","2026-08-27","","modules & chrome","",""
"","54","should fire show_pdp_similarProductsWidget_shown on similar products widget impression","Analytics: PDP Desktop (GA3)","2026-08-27","passed","2026-08-27","","company products, widgets & chrome","",""
"","152","should fire company_details_copy_click on read-more description","Analytics: CPP Desktop (GA3)","2026-08-27","passed","2026-08-27","","profile & products","",""
"","332","should fire company_details_items_click_clickout on external link / phone / map","Analytics: CPP Desktop (GA3)","2026-08-27","passed","2026-08-27","","profile & products","",""
"","74","should fire show_pdp_stickyPanel_contactFormButton when sticky panel appears","Analytics: PDP Desktop (GA3)","2026-08-27","passed","2026-08-27","","company products, widgets & chrome","",""
"","240","should fire show_pdp_productImage on gallery image impression","Analytics: PDP Mobile (GA3)","2026-08-27","passed","2026-08-27","","modules & chrome","",""
"","99","should fire click_exploration_connectBanner on connect banner CTA","Analytics: CPP Desktop (GA3)","2026-08-27","passed","2026-08-27","","profile & products","",""
"","42","should fire show_cpp_wlwAppBanner on app scene banner impression","Analytics: CPP Mobile (GA3)","2026-08-27","passed","2026-08-27","","modules & product list","",""
"","559","should fire click tracking on product price click","Analytics: Product Search (GA3)","2026-08-27","passed","2026-08-27","","product card tracking","",""
"","105","should fire show_cpp_productCard on mobile product card impression","Analytics: CPP Mobile (GA3)","2026-08-27","passed","2026-08-27","","modules & product list","",""
"","536","should fire show_pdp_companyInfo_externalLink when company website link is visible","Analytics: PDP Desktop (GA3)","2026-08-27","passed","2026-08-27","","info section & gallery","",""
"","151","should fire click_pdp_stickyTopBar_recommended_products on recommendations tab click","Analytics: PDP Mobile (GA3)","2026-08-27","passed","2026-08-27","","sticky top bar tabs","",""
"","3338","should validate GA3 pageView","Analytics: Showroom (GA3)","2026-08-27","passed","2026-08-27","","","",""
"","655","should fire show_pdp_productCard_contactFormButton on company-product card contact impression","Analytics: PDP Desktop (GA3)","2026-08-27","passed","2026-08-27","","company products, widgets & chrome","",""
"","151","should fire click_pdp_viewAllProductsButton on view-all link click","Analytics: PDP Mobile (GA3)","2026-08-27","passed","2026-08-27","","modules & chrome","",""
"","3875","should fire click_pdp_infoSection_showContactForm on info contact button click","Analytics: PDP Mobile (GA3)","2026-08-27","passed","2026-08-27","","modules & chrome","",""
"","504","should fire show_cpp_productCard on company product card impression","Analytics: CPP Desktop (GA3)","2026-08-27","passed","2026-08-27","","profile & products","",""
"","94","should fire show_cpp_productCategoriesSection on categories impression","Analytics: CPP Mobile (GA3)","2026-08-27","passed","2026-08-27","","modules & product list","",""
"","78","should fire show_cpp_productCard_contactFormButton on product card contact impression","Analytics: CPP Desktop (GA3)","2026-08-27","passed","2026-08-27","","profile & products","",""
"","2423","should fire company_card_show on card impression","Analytics: Company Search (GA3)","2026-08-27","passed","2026-08-27","","company card tracking","",""
"","51","should fire show tracking on portfolio button impression","Analytics: Company Search (GA3)","2026-08-27","passed","2026-08-27","","company card tracking","",""
"","63","should fire show tracking on contact button impression","Analytics: Company Search (GA3)","2026-08-27","passed","2026-08-27","","company card tracking","",""
"","113","should fire click_pdp_closeGallery on lightbox close","Analytics: PDP Desktop (GA3)","2026-08-27","passed","2026-08-27","","info section & gallery","",""
"","305","should fire click_pdp_infoSection_productImage on gallery image click","Analytics: PDP Desktop (GA3)","2026-08-27","passed","2026-08-27","","info section & gallery","",""
"","21","should fire sort_show and sort_click via mobile sort chip","Analytics: CPP Mobile (GA3)","2026-08-27","passed","2026-08-27","","modules & product list","",""
"","289","should fire click_contactForm_close when contact modal is closed","Analytics: CPP Desktop (GA3)","2026-08-27","passed","2026-08-27","","profile & products","",""
"","1732","validates login_click_social on Alibaba button click","Analytics: Sign In / Sign Up (GA4)","2026-08-27","passed","2026-08-27","","social login","",""
"","138","should fire companyName tracking when VerifiedLabel is clicked (bubbling)","Analytics: Product Search (GA3)","2026-08-27","passed","2026-08-27","","product card tracking","",""
"","45","should fire show_cpp_trendingProductsWidget on trending product card impression","Analytics: PDP Desktop (GA3)","2026-08-27","passed","2026-08-27","","company products, widgets & chrome","",""
"","2056","should fire profile_items_show on info-section contact impression","Analytics: CPP Desktop (GA3)","2026-08-27","passed","2026-08-27","","profile & products","",""
"","339","should fire click tracking on portfolio product name click","Analytics: Company Search (GA3)","2026-08-27","passed","2026-08-27","","company card tracking","",""
"","1055","should fire click_serp_sponsoredBrand_showContactForm on contact button click","Analytics: Company Search (GA3)","2026-08-27","passed","2026-08-27","","sponsored brand tracking","",""
"","5203","should validate GA3 pageView","Analytics: PDP Desktop (GA3)","2026-08-27","passed","2026-08-27","","page_view","",""
"","7874","should validate GA3 pageView","Analytics: Company Search (GA3)","2026-08-27","passed","2026-08-27","","page_view","",""
"","37","should fire show_cpp_wlwAppBanner on app scene banner impression","Analytics: CPP Desktop (GA3)","2026-08-27","passed","2026-08-27","","profile & products","",""
"","1618","should fire click_login_appleButton on Apple button click","Analytics: Supplier Login (GA3)","2026-08-27","passed","2026-08-27","","Social Login buttons","",""
"","142","should fire image_enlarge on company images section impression","Analytics: CPP Desktop (GA3)","2026-08-27","passed","2026-08-27","","profile & products","",""
"","152","should fire filter_chips_apply when a category chip is clicked","Analytics: CPP Mobile (GA3)","2026-08-27","passed","2026-08-27","","modules & product list","",""
"","130","should fire show_cpp_productCard_contactFormButton on trending card contact impression","Analytics: PDP Desktop (GA3)","2026-08-27","passed","2026-08-27","","company products, widgets & chrome","",""
"","3497","should validate GA3 pageView on supplier registration landing page","Analytics: Supplier Onboarding (GA3)","2026-08-27","passed","2026-08-27","","Supplier registration landing UV (supplier_registration_landingpage)","",""
"","245","should fire show_pdp_module_product_description on about-product impression","Analytics: PDP Mobile (GA3)","2026-08-27","passed","2026-08-27","","modules & chrome","",""
"","171","should fire show_exploration_trendingProductsWidget_shown on trending widget impression","Analytics: PDP Desktop (GA3)","2026-08-27","passed","2026-08-27","","company products, widgets & chrome","",""
"","241","should fire click_pdp_stickyTopBar_product_overview on overview tab click","Analytics: PDP Mobile (GA3)","2026-08-27","passed","2026-08-27","","sticky top bar tabs","",""
"","18377","should fire show_contactForm → click_contact_page_message_send → messageTransaction_sent → show_directRequest_successPopup through the federated widget","Analytics: Direct Request Widget / QDR modal (GA3)","2026-08-27","broken","2026-08-27","","","",""
"","143","should fire company_details_items_click_company on VAT number click","Analytics: CPP Desktop (GA3)","2026-08-27","passed","2026-08-27","","profile & products","",""
"","5695","should fire ai_banner_show with optimize_with_ai when description is filled manually","Analytics: RFQ (GA3)","2026-08-27","passed","2026-08-27","","rfq_ai_tracking (DRG-581 treatment)","",""
"","107","should fire click tracking on company name click","Analytics: Product Search (GA3)","2026-08-27","passed","2026-08-27","","product card tracking","",""
"","104","should fire companyName tracking on company header area click (bubbling)","Analytics: Product Search (GA3)","2026-08-27","passed","2026-08-27","","product card tracking","",""
"","1224","should fire show_productSerp_productCard on card impression","Analytics: Product Search (GA3)","2026-08-27","passed","2026-08-27","","product card tracking","",""
"","50","should fire show_pdp_similarProductsWidget on similar product card impression","Analytics: PDP Desktop (GA3)","2026-08-27","passed","2026-08-27","","company products, widgets & chrome","",""
