"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4809","should pass CR-11 on wlw CPV","regression","2026-07-28","passed","2026-07-28","cr-11-cpv-functional","cpv","",""
"","719","should load the RFQ success page for europages in ITALIAN (it)","regression","2026-07-28","passed","2026-07-28","rfq-success-regression","requests","",""
"","1748","should load showroom with breadcrumbs, results and product cards","smoke","2026-07-28","passed","2026-07-28","","showroom","",""
"","3579","should display and open sorting options","regression","2026-07-28","passed","2026-07-28","ai-product-search-regression","product-search","",""
"","6699","should open a conversation when the first card is clicked on wlw","smoke","2026-07-28","passed","2026-07-28","","conversations-smoke","",""
"","3764","should display pagination","regression","2026-07-28","passed","2026-07-28","ai-company-search-regression","company-search","",""
"","10365","should keep results after verified filter and new header search","regression","2026-07-28","passed","2026-07-28","ai-company-search-regression","company-search","",""
"","9894","should display My Companies section","regression","2026-07-28","passed","2026-07-28","wlw-my-account-regression","my-account","",""
"","7081","should load wlw conversations page after login","smoke","2026-07-28","passed","2026-07-28","","conversations-smoke","",""
"","2759","should navigate away from homepage after searching","regression","2026-07-28","passed","2026-07-28","wlw-homepage-regression","homepage","",""
"","2763","should scroll trending products carousel forward with next arrow","regression","2026-07-28","passed","2026-07-28","ep-homepage-regression","homepage","",""
"","1533","should not redirect authenticated user to login page on wlw","smoke","2026-07-28","passed","2026-07-28","","conversations-smoke","",""
"","2157","should load CPP URL with company profile path","regression","2026-07-28","passed","2026-07-28","wlw-cpp-regression","cpp","",""
"","937","should load the success page for europages in SPANISH (es)","regression","2026-07-28","passed","2026-07-28","direct-request-success-regression","requests","",""
"","1305","should display pagination or quotes entry","regression","2026-07-28","passed","2026-07-28","wlw-showroom-regression","showroom","",""
"","2092","should display filter or sorting controls","regression","2026-07-28","passed","2026-07-28","wlw-cserp-regression","cserp","",""
"","1181","should display contact button","regression","2026-07-28","passed","2026-07-28","ep-cpp-regression","cpp","",""
"","33751","should navigate away from CPV when clicking first product card","regression","2026-07-28","failed","2026-07-28","wlw-cpv-regression","cpv","",""
"","2030","should display pagination","regression","2026-07-28","passed","2026-07-28","ep-cpv-regression","cpv","",""
"","1323","should display at least 3 CPV second-level category groups","regression","2026-07-28","passed","2026-07-28","ep-homepage-regression","homepage","",""
"","10919","should keep AI reasoning panel after a header search","regression","2026-07-28","passed","2026-07-28","ai-company-search-regression","company-search","",""
"","2403","should display breadcrumbs","regression","2026-07-28","passed","2026-07-28","ai-product-search-regression","product-search","",""
"","1453","should have trending product name links pointing to /en/company paths","regression","2026-07-28","passed","2026-07-28","ep-homepage-regression","homepage","",""
"","1826","should display the FAQ section","smoke","2026-07-28","passed","2026-07-28","","requests-smoke","",""
"","786","should upload the company logo","critical regression","2026-07-28","passed","2026-07-28","wlw-company-profile-editor-e2e","company-profile","",""
"","1916","should load CPP URL with company profile path","regression","2026-07-28","passed","2026-07-28","ep-cpp-regression","cpp","",""
"","1239","should show the breadcrumb with supplier name","critical regression","2026-07-28","passed","2026-07-28","direct-request-e2e","requests","",""
"","2379","should scroll product recommendation carousel forward with next arrow","regression","2026-07-28","passed","2026-07-28","ep-homepage-regression","homepage","",""
"","1816","should load homepage on Switzerland (https://www.wlw-staging.ch)","regression","2026-07-28","passed","2026-07-28","domain-smoke","homepage","",""
"","9749","should load the RFQ landing page for europages in SPANISH (es)","regression","2026-07-28","failed","2026-07-28","rfq-landing-regression","requests","",""
"","7811","should display Language section with English selected","regression","2026-07-28","passed","2026-07-28","ep-my-account-regression","my-account","",""
"","1496","should have product name links pointing to /en/company paths","regression","2026-07-28","passed","2026-07-28","ep-homepage-regression","homepage","",""
"","2768","should not log any errors on the RFQ create page","critical regression","2026-07-28","failed","2026-07-28","direct-request-e2e","requests","",""
"","10676","should pass CR-06 SEO dynamic elements and functional validation","regression","2026-07-28","failed","2026-07-28","cr-06-ep-homepage-functional","homepage","",""
"","1584","should display europages brand intro title","regression","2026-07-28","passed","2026-07-28","ep-homepage-regression","homepage","",""
"","1738","should display the page and supplier data","critical regression","2026-07-28","passed","2026-07-28","direct-request-e2e","requests","",""
"","1646","should display Explore Suppliers and Top Searches keyword sections","smoke","2026-07-28","passed","2026-07-28","","homepage","",""
"","1116","should display EP logo in header","regression","2026-07-28","passed","2026-07-28","ep-homepage-regression","homepage","",""
"","9658","should display ""Sign in"" button in header","regression","2026-07-28","failed","2026-07-28","ep-homepage-regression","homepage","",""
"","9320","should display Products and services table with data","regression","2026-07-28","passed","2026-07-28","ep-business-insights-regression","my-account","",""
"","1869","should load showroom on France (https://www.europages-staging.fr)","regression","2026-07-28","passed","2026-07-28","domain-smoke","showroom","",""
